start_time,end_time,dominant_object,non_dominant_object,interaction_type
733.5629,734.1215,Hand,FailOnTouchObstacleLong,PickedUp
733.7222,734.0,Hand,FailOnTouchObstacleMed,LeftGate
734.3778,734.5778,Hand,FailOnTouchObstacleMed,LeftGate
734.4333,734.6778,HandToWrist,FailOnTouchObstacleMed,LeftGate
734.5556,736.8,WristToElbow,FailOnTouchObstacleMed,LeftGate
734.5778,735.9778,Hand,FailOnTouchObstacleLong,RightGate
734.6556,736.1,HandToWrist,FailOnTouchObstacleLong,RightGate
734.7471,735.4514,Hand,FailOnTouchObstacleShort-1,PickedUp
734.8334,735.7111,WristToElbow,FailOnTouchObstacleLong,RightGate
735.7111,735.8,HandToWrist,FailOnTouchObstacleMed,LeftGate
735.9,736.7,WristToElbow,FailOnTouchObstacleLong,RightGate
735.9556,736.1334,Hand,FailOnTouchObstacleLong-1,LeftGate
735.9556,736.1334,Hand,FailOnTouchObstacleMed-1,LeftGate
735.9889,736.6667,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
735.9889,736.6667,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
736.0222,736.6223,Hand,FailOnTouchObstacleShort-1,RightGate
736.0778,736.6,HandToWrist,FailOnTouchObstacleShort-1,RightGate
736.1223,736.5778,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
736.1223,736.5778,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
736.3332,,Hand,Target,PickedUp
736.5333,736.6778,Hand,FailOnTouchObstacleLong-1,LeftGate
736.5333,736.6778,Hand,FailOnTouchObstacleMed-1,LeftGate
736.5778,736.7667,HandToWrist,FailOnTouchObstacleLong,RightGate
736.6556,736.7667,Hand,FailOnTouchObstacleLong,RightGate
736.7444,736.8445,HandToWrist,FailOnTouchObstacleMed,LeftGate
736.7778,736.8556,Hand,FailOnTouchObstacleMed,LeftGate
