object,x,y,z,width,height,depth
Target,-0.1575,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleShort,0.1325,0.79,0.115,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed,-0.0575,0.79,-0.004999999,0.1,0.12,0.04999995
FailOnTouchObstacleLong,0.2425,0.79,0.155,0.15,0.12,0.05000001
FailOnTouchObstacleLong-1,0.2225,0.79,-0.115,0.15,0.12,0.05000001
FailOnTouchObstacleMed-1,-0.2575,0.79,-0.185,0.1,0.12,0.04999995
FailOnTouchObstacleShort-1,-0.1375,0.79,0.015,0.04999995,0.12,0.04999995
