start_time,end_time,dominant_object,non_dominant_object,interaction_type
259.2656,260.5612,Hand,FailOnTouchObstacleLong,PickedUp
259.8222,259.8445,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
259.8667,259.9556,Hand,FailOnTouchObstacleLong,LeftGate
259.8667,259.9556,Hand,FailOnTouchObstacleLong,RightGate
259.8667,259.8778,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
259.8889,259.9,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
259.9111,259.9222,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
259.9333,259.9445,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
259.9556,260.0222,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
259.9667,260.0667,Hand,FailOnTouchObstacleLong,LeftGate
259.9667,260.0667,Hand,FailOnTouchObstacleLong,RightGate
260.0333,260.0556,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
260.0667,260.5778,FailOnTouchObstacleLong,FailOnTouchObstacleMed,Pushed
260.0778,260.1667,Hand,FailOnTouchObstacleLong,LeftGate
260.0778,260.6667,Hand,FailOnTouchObstacleLong,RightGate
260.0889,261.0111,Hand,FailOnTouchObstacleMed,RightGate
260.1444,260.3,HandToWrist,FailOnTouchObstacleMed,RightGate
260.3556,261.0111,HandToWrist,FailOnTouchObstacleMed,RightGate
260.3889,261.0667,WristToElbow,FailOnTouchObstacleMed,RightGate
261.1222,261.2444,Hand,FailOnTouchObstacleLong,RightGate
261.1444,261.3222,HandToWrist,FailOnTouchObstacleLong,RightGate
261.1667,261.2889,Hand,FailOnTouchObstacleShort,LeftGate
261.2,261.3889,HandToWrist,FailOnTouchObstacleShort,LeftGate
261.2444,,WristToElbow,FailOnTouchObstacleLong,RightGate
261.2778,,WristToElbow,FailOnTouchObstacleShort,LeftGate
261.5333,,Hand,FailOnTouchObstacleShort-1,Pushed
261.5445,,Hand,FailOnTouchObstacleShort-1,RightGate
261.5445,,Hand,FailOnTouchObstacleLong-1,LeftGate
261.5445,,Hand,FailOnTouchObstacleMed-1,RightGate
261.6667,,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
261.6667,,HandToWrist,FailOnTouchObstacleMed-1,RightGate
261.7902,,Hand,FailOnTouchObstacleShort-1,PickedUp
261.8,,FailOnTouchObstacleShort-1,Target,Pushed
