object,x,y,z,width,height,depth
Target,0.1825,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleLong,-0.1875,0.79,0.125,0.15,0.12,0.05000001
FailOnTouchObstacleMed,-0.1075,0.79,-0.105,0.1,0.12,0.04999995
FailOnTouchObstacleShort,-0.0675,0.79,0.055,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed-1,0.2325,0.79,-0.185,0.1,0.12,0.04999995
FailOnTouchObstacleShort-1,0.2525,0.79,0.165,0.04999995,0.12,0.04999995
FailOnTouchObstacleLong-1,-0.2475,0.79,0.025,0.15,0.12,0.05000001
