object,x,y,z,width,height,depth
Target,-0.0975,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleMed,0.0825,0.79,-0.085,0.1,0.12,0.04999995
FailOnTouchObstacleShort,-0.2175,0.79,0.005000001,0.04999995,0.12,0.04999995
FailOnTouchObstacleLong,0.1925,0.79,0.085,0.15,0.12,0.05000001
FailOnTouchObstacleLong-1,0.0925,0.79,-0.155,0.15,0.12,0.05000001
FailOnTouchObstacleShort-1,-0.3075,0.79,-0.095,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed-1,-0.2075,0.79,0.155,0.1,0.12,0.04999995
