start_time,end_time,dominant_object,non_dominant_object,interaction_type
644.2562,645.0268,Hand,FailOnTouchObstacleLong,PickedUp
644.5222,644.8112,Hand,FailOnTouchObstacleLong,LeftGate
644.6445,644.6667,Hand,FailOnTouchObstacleLong,RightGate
644.7778,644.8112,Hand,FailOnTouchObstacleLong,RightGate
644.8778,644.9778,Hand,FailOnTouchObstacleLong,LeftGate
644.8778,644.9778,Hand,FailOnTouchObstacleLong,RightGate
645.9209,646.8477,Hand,FailOnTouchObstacleMed,PickedUp
646.4445,646.4556,Hand,FailOnTouchObstacleMed,RightGate
646.4445,646.4556,Hand,FailOnTouchObstacleMed,LeftGate
647.3556,647.4889,Hand,FailOnTouchObstacleMed,LeftGate
647.3778,647.5444,HandToWrist,FailOnTouchObstacleMed,LeftGate
647.4222,647.5555,Hand,FailOnTouchObstacleShort,LeftGate
647.4333,649.2,WristToElbow,FailOnTouchObstacleMed,LeftGate
647.4556,647.6334,HandToWrist,FailOnTouchObstacleShort,LeftGate
647.5222,649.9667,WristToElbow,FailOnTouchObstacleShort,LeftGate
647.5778,648.0,Hand,FailOnTouchObstacleLong,RightGate
647.6111,648.2333,HandToWrist,FailOnTouchObstacleLong,RightGate
647.9313,648.5345,Hand,FailOnTouchObstacleLong-1,PickedUp
647.9445,649.7667,WristToElbow,FailOnTouchObstacleLong,RightGate
648.5889,648.6334,Hand,FailOnTouchObstacleLong-1,Pushed
648.7333,648.9556,Hand,FailOnTouchObstacleShort-1,LeftGate
648.7333,648.9556,Hand,FailOnTouchObstacleMed-1,LeftGate
648.7444,648.8556,HandToWrist,FailOnTouchObstacleLong,RightGate
648.7556,649.6889,Hand,FailOnTouchObstacleLong-1,RightGate
648.7889,649.1556,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
648.7889,649.1556,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
648.8556,649.6667,HandToWrist,FailOnTouchObstacleLong-1,RightGate
648.9222,649.6334,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
648.9222,649.6334,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
649.1667,649.4778,WristToElbow,FailOnTouchObstacleLong-1,RightGate
649.2222,649.4667,Hand,Target,Pushed
649.3168,,Hand,Target,PickedUp
649.4889,650.0778,WristToElbow,FailOnTouchObstacleMed,LeftGate
649.4889,649.7333,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
649.4889,649.7333,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
649.5889,649.7444,Hand,FailOnTouchObstacleMed-1,LeftGate
649.5889,649.7444,Hand,FailOnTouchObstacleShort-1,LeftGate
649.6334,649.8667,HandToWrist,FailOnTouchObstacleLong,RightGate
649.7444,649.8778,Hand,FailOnTouchObstacleLong,RightGate
649.8667,650.0111,HandToWrist,FailOnTouchObstacleShort,LeftGate
649.9,650.0222,Hand,FailOnTouchObstacleShort,LeftGate
649.9556,650.0889,HandToWrist,FailOnTouchObstacleMed,LeftGate
649.9556,650.1,Hand,FailOnTouchObstacleMed,LeftGate
