time,FailOnTouchObstacleLong_pos_x,FailOnTouchObstacleLong_pos_y,FailOnTouchObstacleLong_pos_z,FailOnTouchObstacleLong_rot_x,FailOnTouchObstacleLong_rot_y,FailOnTouchObstacleLong_rot_z
439.3333,-0.0476,0.7909,-0.1049,2.2895,2.2895,2.2895
439.3445,-0.0477,0.7908,-0.1047,2.414,2.414,2.414
439.3556,-0.0478,0.7907,-0.1044,2.4693,2.4693,2.4693
439.3667,-0.0478,0.7906,-0.1043,1.7207,1.7207,1.7207
439.3778,-0.0482,0.7903,-0.1045,1.6545,1.6545,1.6545
439.3889,-0.049,0.7905,-0.1049,1.7294,1.7294,1.7294
439.4,-0.0501,0.7901,-0.1055,1.8149,1.8149,1.8149
439.4111,-0.0519,0.79,-0.1067,1.8432,1.8432,1.8432
439.4222,-0.054000000000000006,0.7901,-0.1084,1.9308,1.9308,1.9308
439.4333,-0.0563,0.79,-0.1103,1.9912,1.9912,1.9912
439.4445,-0.0585,0.79,-0.1122,2.1746,2.1746,2.1746
439.4556,-0.061,0.7904,-0.1137,2.4174,2.4174,2.4174
439.4667,-0.0644,0.7903,-0.1157,2.224,2.224,2.224
439.4778,-0.0697,0.7902,-0.1184,2.0844,2.0844,2.0844
439.4889,-0.0753,0.7899,-0.1217,1.9527,1.9527,1.9527
439.5,-0.0809,0.7898,-0.1251,1.9802,1.9802,1.9802
439.5111,-0.0869,0.7899,-0.1287,2.1067,2.1067,2.1067
439.5222,-0.0923,0.7899,-0.1325,2.2812,2.2812,2.2812
439.5334,-0.0974,0.7899,-0.1361,2.5653,2.5653,2.5653
439.5445,-0.1028,0.7899,-0.1398,2.846,2.846,2.846
439.5556,-0.1081,0.79,-0.1433,3.0733,3.0733,3.0733
439.5667,-0.1133,0.79,-0.1467,3.0876,3.0876,3.0876
439.5778,-0.1191,0.7901,-0.1504,2.9411,2.9411,2.9411
439.5889,-0.1241,0.7906,-0.1539,2.9376,2.9376,2.9376
439.6,-0.129,0.7909,-0.1568,3.1694,3.1694,3.1694
439.6111,-0.1337,0.7912,-0.1594,3.3112,3.3112,3.3112
439.6222,-0.1379,0.7914,-0.1618,3.2763,3.2763,3.2763
439.6333,-0.1418,0.7923,-0.1641,3.5016,3.5016,3.5016
439.6445,-0.1468,0.7928,-0.1667,3.8201,3.8201,3.8201
439.6556,-0.1516,0.7926,-0.1688,4.3374,4.3374,4.3374
439.6667,-0.1557,0.7924,-0.1705,4.3819,4.3819,4.3819
439.6778,-0.1588,0.7921,-0.1719,4.2969,4.2969,4.2969
439.6889,-0.1613,0.7919,-0.1727,4.3383,4.3383,4.3383
439.7,-0.1636,0.7918,-0.1731,4.213,4.213,4.213
439.7111,-0.1656,0.7917,-0.1734,3.8978,3.8978,3.8978
439.7222,-0.1672,0.7915,-0.1736,3.5993,3.5993,3.5993
439.7333,-0.1687,0.7915,-0.1738,3.5232,3.5232,3.5232
439.7444,-0.17,0.7914,-0.1741,3.4714,3.4714,3.4714
439.7556,-0.1713,0.7915,-0.1743,3.6559,3.6559,3.6559
439.7667,-0.1726,0.7915,-0.1747,3.5526,3.5526,3.5526
439.7778,-0.1736,0.7915,-0.1751,3.4551,3.4551,3.4551
439.7889,-0.1744,0.7914,-0.1754,3.4102,3.4102,3.4102
439.8,-0.1749,0.7913,-0.1757,3.1145,3.1145,3.1145
439.8111,-0.1751,0.7912,-0.1762,2.9719,2.9719,2.9719
439.8222,-0.1752,0.7912,-0.1766,3.0795,3.0795,3.0795
439.8333,-0.1752,0.7912,-0.1771,3.3849,3.3849,3.3849
439.8445,-0.1747,0.7909999999999999,-0.1778,3.5074,3.5074,3.5074
