object,x,y,z,width,height,depth
Target,0.2925,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleMed,-0.0675,0.79,-0.085,0.1,0.12,0.04999995
FailOnTouchObstacleShort,-0.1875,0.79,-0.075,0.04999995,0.12,0.04999995
FailOnTouchObstacleLong,-0.2275,0.79,0.015,0.15,0.12,0.05000001
FailOnTouchObstacleShort-1,0.2225,0.79,-0.025,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed-1,-0.0775,0.79,0.005000001,0.1,0.12,0.04999995
FailOnTouchObstacleLong-1,0.1625,0.79,0.085,0.15,0.12,0.05000001
