time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
287.5556,0.1525,0.79,0.055,0.0,0.0,0.0
287.5667,0.1525,0.79,0.055,-0.001,-0.001,-0.001
287.5778,0.1525,0.79,0.055,-0.002,-0.002,-0.002
287.5889,0.1525,0.79,0.055,-0.0024,-0.0024,-0.0024
287.6,0.1525,0.79,0.055,-0.0025,-0.0025,-0.0025
287.6111,0.1525,0.79,0.055,-0.0023,-0.0023,-0.0023
287.6222,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.6333,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.6444,0.1525,0.79,0.055,-0.0021,-0.0021,-0.0021
287.6555,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.6667,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.6778,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.6889,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7111,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7222,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7333,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7444,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7556,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7667,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7778,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.7889,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.8,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.8111,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.8222,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.8333,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
287.8445,0.1525,0.79,0.055,-0.0022,-0.0022,-0.0022
