time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
748.6556,0.1125,0.79,0.055,0.0,0.0,0.0
748.6667,0.1125,0.79,0.055,-0.001,-0.001,-0.001
748.6778,0.1125,0.79,0.055,-0.002,-0.002,-0.002
748.6889,0.1125,0.79,0.055,-0.0024,-0.0024,-0.0024
748.7,0.1125,0.79,0.055,-0.0025,-0.0025,-0.0025
748.7111,0.1125,0.79,0.055,-0.0023,-0.0023,-0.0023
748.7222,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.7333,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.7444,0.1125,0.79,0.055,-0.0021,-0.0021,-0.0021
748.7556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.7667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.7778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.7889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8112,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8223,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8334,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8445,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.8889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9222,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9333,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9445,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
748.9889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0222,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0333,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0444,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.0889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1223,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1334,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1445,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.1889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2222,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2333,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2444,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.2889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3112,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3223,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3334,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3445,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.3889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4222,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4333,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4445,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.4889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5222,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5333,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5444,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.5889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6223,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6334,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6445,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.6889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7111,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7222,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7333,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7444,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7778,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.7889,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8112,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8223,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8334,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8445,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8556,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8667,0.1125,0.79,0.055,-0.0022,-0.0022,-0.0022
749.8778,0.1124,0.79,0.0555,0.4182,0.4182,0.4182
749.8889,0.1123,0.7901,0.0565,1.3067,1.3067,1.3067
749.9,0.1123,0.7901,0.0584,1.5128,1.5128,1.5128
749.9111,0.1123,0.7901,0.0606,1.9051,1.9051,1.9051
749.9222,0.1146,0.7951,0.0526,352.5078,352.5078,352.5078
749.9333,0.1147,0.7952,0.0593,351.6088,351.6088,351.6088
749.9445,0.1146,0.7948,0.0622,351.7197,351.7197,351.7197
749.9556,0.1146,0.7945,0.0642,351.7814,351.7814,351.7814
749.9667,0.1147,0.7945,0.0662,351.6059,351.6059,351.6059
