object,x,y,z,width,height,depth
Target,-0.0675,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleShort,-0.2975,0.79,-0.125,0.04999995,0.12,0.04999995
FailOnTouchObstacleLong,0.1625,0.79,0.085,0.15,0.12,0.05000001
FailOnTouchObstacleMed,-0.1875,0.79,-0.095,0.1,0.12,0.04999995
FailOnTouchObstacleMed-1,0.0525,0.79,-0.095,0.1,0.12,0.04999995
FailOnTouchObstacleLong-1,0.1125,0.79,-0.025,0.15,0.12,0.05000001
FailOnTouchObstacleShort-1,0.2825,0.79,-0.105,0.04999995,0.12,0.04999995
