time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
465.6889,0.2775,0.79,0.055,0.0,0.0,0.0
465.7,0.2775,0.79,0.055,-0.001,-0.001,-0.001
465.7111,0.2775,0.79,0.055,-0.002,-0.002,-0.002
465.7222,0.2775,0.79,0.055,-0.0024,-0.0024,-0.0024
465.7333,0.2775,0.79,0.055,-0.0025,-0.0025,-0.0025
465.7444,0.2775,0.79,0.055,-0.0023,-0.0023,-0.0023
465.7556,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.7667,0.2775,0.79,0.055,-0.0021,-0.0021,-0.0021
465.7778,0.2775,0.79,0.055,-0.0021,-0.0021,-0.0021
465.7889,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8111,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8222,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8333,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8445,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8556,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8667,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8778,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.8889,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9111,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9222,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9333,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9445,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9556,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9667,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9778,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
465.9889,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0111,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0222,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0334,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0445,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0556,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0667,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0778,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.0889,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1111,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1222,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1333,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1445,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1556,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1667,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1778,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.1889,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.2,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.2111,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
466.2222,0.2775,0.79,0.055,-0.0022,-0.0022,-0.0022
