start_time,end_time,dominant_object,non_dominant_object,interaction_type
953.3667,953.6445,Hand,FailOnTouchObstacleMed,LeftGate
953.4111,954.5,HandToWrist,FailOnTouchObstacleMed,LeftGate
953.5445,956.1445,WristToElbow,FailOnTouchObstacleMed,LeftGate
953.9242,954.0471,Hand,FailOnTouchObstacleMed-1,PickedUp
954.2592,955.1753,Hand,FailOnTouchObstacleMed-1,PickedUp
954.7222,955.3889,WristToElbow,FailOnTouchObstacleShort,LeftGate
955.6,955.8,Hand,FailOnTouchObstacleLong,LeftGate
955.6445,955.9333,HandToWrist,FailOnTouchObstacleLong,LeftGate
955.7667,956.1223,Hand,FailOnTouchObstacleMed-1,LeftGate
955.7889,956.8,WristToElbow,FailOnTouchObstacleLong,LeftGate
955.8112,956.7556,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
955.8889,956.3556,Hand,FailOnTouchObstacleLong-1,LeftGate
955.9556,956.7,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
955.9889,956.6667,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
956.2889,956.5222,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
956.3705,,Hand,Target,PickedUp
956.4445,956.7111,Hand,FailOnTouchObstacleLong-1,LeftGate
956.6,956.7667,Hand,FailOnTouchObstacleMed-1,LeftGate
956.6334,957.0334,WristToElbow,FailOnTouchObstacleMed,LeftGate
956.7111,956.8778,HandToWrist,FailOnTouchObstacleLong,LeftGate
956.7778,956.8778,Hand,FailOnTouchObstacleLong,LeftGate
956.9333,957.1223,HandToWrist,FailOnTouchObstacleMed,LeftGate
956.9889,957.1445,Hand,FailOnTouchObstacleMed,LeftGate
