object,x,y,z,width,height,depth
Target,-0.1275,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleLong,-0.0275,0.79,-0.185,0.15,0.12,0.05000001
FailOnTouchObstacleShort,-0.2275,0.79,0.035,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed,-0.2075,0.79,-0.025,0.1,0.12,0.04999995
FailOnTouchObstacleMed-1,-0.0875,0.79,-0.085,0.1,0.12,0.04999995
FailOnTouchObstacleShort-1,0.0525,0.79,0.145,0.04999995,0.12,0.04999995
FailOnTouchObstacleLong-1,0.1025,0.79,0.075,0.15,0.12,0.05000001
