start_time,end_time,dominant_object,non_dominant_object,interaction_type
1122.498,1123.447,Hand,FailOnTouchObstacleLong,PickedUp
1123.944,1124.067,Hand,FailOnTouchObstacleLong,RightGate
1123.9669999999999,1124.067,Hand,FailOnTouchObstacleLong-1,RightGate
1123.978,1124.145,HandToWrist,FailOnTouchObstacleLong,RightGate
1123.989,1124.133,HandToWrist,FailOnTouchObstacleLong-1,RightGate
1124.0439999999999,1124.156,Hand,FailOnTouchObstacleMed-1,RightGate
1124.056,1125.267,WristToElbow,FailOnTouchObstacleLong,RightGate
1124.056,1125.278,WristToElbow,FailOnTouchObstacleLong-1,RightGate
1124.067,1124.1889999999999,HandToWrist,FailOnTouchObstacleMed-1,RightGate
1124.1,1124.222,Hand,FailOnTouchObstacleMed,RightGate
1124.133,1124.333,HandToWrist,FailOnTouchObstacleMed,RightGate
1124.156,1124.167,WristToElbow,FailOnTouchObstacleMed-1,RightGate
1124.211,1125.122,WristToElbow,FailOnTouchObstacleMed,RightGate
1124.378,1124.9560000000001,Hand,FailOnTouchObstacleShort-1,RightGate
1124.4560000000001,1124.922,HandToWrist,FailOnTouchObstacleShort-1,RightGate
1124.754,,Hand,Target,PickedUp
1125.011,1125.2,HandToWrist,FailOnTouchObstacleMed,RightGate
1125.089,1125.211,Hand,FailOnTouchObstacleMed,RightGate
1125.167,1125.267,Hand,FailOnTouchObstacleMed-1,RightGate
1125.1889999999999,1125.356,HandToWrist,FailOnTouchObstacleLong,RightGate
1125.2,1125.356,HandToWrist,FailOnTouchObstacleLong-1,RightGate
1125.233,1125.367,Hand,FailOnTouchObstacleLong,RightGate
1125.245,1125.356,Hand,FailOnTouchObstacleLong-1,RightGate
