time,FailOnTouchObstacleMed-1_pos_x,FailOnTouchObstacleMed-1_pos_y,FailOnTouchObstacleMed-1_pos_z,FailOnTouchObstacleMed-1_rot_x,FailOnTouchObstacleMed-1_rot_y,FailOnTouchObstacleMed-1_rot_z
1489.622,0.2625,0.79,0.045,0,0,0
1489.6329999999998,0.2625,0.79,0.045,0,0,0
1489.645,0.2625,0.79,0.045,0,0,0
1489.656,0.2625,0.79,0.045,0,0,0
1489.6670000000001,0.2625,0.79,0.045,0,0,0
1489.6779999999999,0.2625,0.79,0.045,0,0,0
1489.6889999999999,0.2625,0.79,0.045,0,0,0
1489.7,0.2625,0.79,0.045,0,0,0
1489.711,0.2625,0.79,0.045,0,0,0
1489.7220000000002,0.2625,0.79,0.045,0,0,0
1489.733,0.2625,0.79,0.045,0,0,0
1489.745,0.2625,0.79,0.045,0,0,0
1489.756,0.2625,0.79,0.045,0,0,0
1489.767,0.2625,0.79,0.045,0,0,0
1489.7779999999998,0.2625,0.79,0.045,0,0,0
1489.789,0.2625,0.79,0.045,0,0,0
1489.8,0.2625,0.79,0.045,0,0,0
1489.8110000000001,0.2625,0.79,0.045,0,0,0
1489.8220000000001,0.2625,0.79,0.045,0,0,0
1489.8329999999999,0.2625,0.79,0.045,0,0,0
1489.844,0.2625,0.79,0.045,0,0,0
1489.856,0.2625,0.79,0.045,0,0,0
1489.8670000000002,0.2625,0.79,0.045,0,0,0
1489.878,0.2625,0.79,0.045,0,0,0
1489.889,0.2625,0.79,0.045,0,0,0
1489.9,0.2625,0.79,0.045,0,0,0
1489.911,0.2625,0.79,0.045,0,0,0
1489.922,0.2625,0.79,0.045,0,0,0
1489.933,0.2625,0.79,0.045,0,0,0
1489.944,0.2625,0.79,0.045,0,0,0
1489.9560000000001,0.2625,0.79,0.045,0,0,0
1489.967,0.2625,0.79,0.045,0,0,0
1489.9779999999998,0.2625,0.79,0.045,0,0,0
1489.989,0.2625,0.79,0.045,0,0,0
1490.0,0.2625,0.79,0.045,0,0,0
1490.011,0.2625,0.79,0.045,0,0,0
1490.0220000000002,0.2625,0.79,0.045,0,0,0
1490.033,0.2625,0.79,0.045,0,0,0
1490.0439999999999,0.2625,0.79,0.045,0,0,0
1490.056,0.2625,0.79,0.045,0,0,0
1490.067,0.2625,0.79,0.045,0,0,0
1490.078,0.2625,0.79,0.045,0,0,0
1490.089,0.2625,0.79,0.045,0,0,0
1490.1,0.2625,0.79,0.045,0,0,0
1490.111,0.2625,0.79,0.045,0,0,0
1490.122,0.2625,0.79,0.045,0,0,0
1490.1329999999998,0.2625,0.79,0.045,0,0,0
1490.145,0.2625,0.79,0.045,0,0,0
1490.156,0.2625,0.79,0.045,0,0,0
1490.1670000000001,0.2625,0.79,0.045,0,0,0
1490.1779999999999,0.2625,0.79,0.045,0,0,0
1490.1889999999999,0.2625,0.79,0.045,0,0,0
1490.2,0.2625,0.79,0.045,0,0,0
1490.211,0.2625,0.79,0.045,0,0,0
1490.2220000000002,0.2625,0.79,0.045,0,0,0
1490.233,0.2625,0.79,0.045,0,0,0
1490.245,0.2625,0.79,0.045,0,0,0
