start_time,end_time,dominant_object,non_dominant_object,interaction_type
331.5277,332.6781,Hand,FailOnTouchObstacleMed,PickedUp
331.7778,332.3667,Hand,FailOnTouchObstacleShort,RightGate
331.7778,332.3667,Hand,FailOnTouchObstacleLong,RightGate
333.3667,333.7333,Hand,FailOnTouchObstacleShort,RightGate
333.3667,333.7333,Hand,FailOnTouchObstacleLong,RightGate
333.4445,333.8667,HandToWrist,FailOnTouchObstacleShort,RightGate
333.4445,333.8667,HandToWrist,FailOnTouchObstacleLong,RightGate
333.5445,333.9778,Hand,FailOnTouchObstacleMed,LeftGate
333.6,337.7333,WristToElbow,FailOnTouchObstacleShort,RightGate
333.6,337.7333,WristToElbow,FailOnTouchObstacleLong,RightGate
333.6333,334.3445,HandToWrist,FailOnTouchObstacleMed,LeftGate
333.7667,337.6778,WristToElbow,FailOnTouchObstacleMed,LeftGate
334.5326,335.4934,Hand,FailOnTouchObstacleShort-1,PickedUp
335.5445,336.1667,HandToWrist,FailOnTouchObstacleMed,LeftGate
336.1667,336.5222,Hand,FailOnTouchObstacleMed-1,RightGate
336.1667,336.5222,Hand,FailOnTouchObstacleLong-1,LeftGate
336.2222,337.5111,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
336.2222,337.5111,HandToWrist,FailOnTouchObstacleMed-1,RightGate
336.2889,337.0556,Hand,FailOnTouchObstacleShort-1,LeftGate
336.3445,337.4667,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
336.4556,337.3889,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
336.4556,337.3889,WristToElbow,FailOnTouchObstacleMed-1,RightGate
336.7111,337.3222,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
337.1693,,Hand,Target,PickedUp
337.2,337.4889,Hand,FailOnTouchObstacleShort-1,LeftGate
337.3556,337.5222,Hand,FailOnTouchObstacleLong-1,LeftGate
337.3556,337.5222,Hand,FailOnTouchObstacleMed-1,RightGate
337.5556,337.7444,HandToWrist,FailOnTouchObstacleMed,LeftGate
337.6,337.7556,Hand,FailOnTouchObstacleMed,LeftGate
337.6222,337.8,HandToWrist,FailOnTouchObstacleShort,RightGate
337.6222,337.8,HandToWrist,FailOnTouchObstacleLong,RightGate
337.6778,337.8111,Hand,FailOnTouchObstacleLong,RightGate
337.6778,337.8111,Hand,FailOnTouchObstacleShort,RightGate
