time,FailOnTouchObstacleShort_pos_x,FailOnTouchObstacleShort_pos_y,FailOnTouchObstacleShort_pos_z,FailOnTouchObstacleShort_rot_x,FailOnTouchObstacleShort_rot_y,FailOnTouchObstacleShort_rot_z
429.2111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.2222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.2333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.2444,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.2556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.2667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.2778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.2889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3445,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.3889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4445,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.4889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5334,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5445,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.5889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6444,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
