start_time,end_time,dominant_object,non_dominant_object,interaction_type
848.1,848.2111,Hand,FailOnTouchObstacleShort,RightGate
848.1,848.2111,Hand,FailOnTouchObstacleLong,LeftGate
848.1,848.2111,Hand,FailOnTouchObstacleMed,RightGate
848.1223,848.2889,HandToWrist,FailOnTouchObstacleShort,RightGate
848.1223,848.2889,HandToWrist,FailOnTouchObstacleLong,LeftGate
848.1223,848.2889,HandToWrist,FailOnTouchObstacleMed,RightGate
848.2,849.3445,WristToElbow,FailOnTouchObstacleShort,RightGate
848.2,849.3445,WristToElbow,FailOnTouchObstacleLong,LeftGate
848.2,849.3445,WristToElbow,FailOnTouchObstacleMed,RightGate
848.3445,848.5111,Hand,FailOnTouchObstacleShort-1,RightGate
848.3445,848.5111,Hand,FailOnTouchObstacleLong-1,LeftGate
848.3445,848.5111,Hand,FailOnTouchObstacleMed-1,RightGate
848.3778,849.1889,HandToWrist,FailOnTouchObstacleShort-1,RightGate
848.3778,849.1889,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
848.3778,849.1889,HandToWrist,FailOnTouchObstacleMed-1,RightGate
848.5,849.0889,WristToElbow,FailOnTouchObstacleShort-1,RightGate
848.5,849.0889,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
848.5,849.0889,WristToElbow,FailOnTouchObstacleMed-1,RightGate
848.8874,,Hand,Target,PickedUp
849.0556,849.2111,Hand,FailOnTouchObstacleLong-1,LeftGate
849.0556,849.2111,Hand,FailOnTouchObstacleMed-1,RightGate
849.0556,849.2111,Hand,FailOnTouchObstacleShort-1,RightGate
849.2778,849.4111,HandToWrist,FailOnTouchObstacleLong,LeftGate
849.2778,849.4111,HandToWrist,FailOnTouchObstacleMed,RightGate
849.2778,849.4111,HandToWrist,FailOnTouchObstacleShort,RightGate
849.3223,849.4222,Hand,FailOnTouchObstacleLong,LeftGate
849.3223,849.4222,Hand,FailOnTouchObstacleMed,RightGate
849.3223,849.4222,Hand,FailOnTouchObstacleShort,RightGate
