object,x,y,z,width,height,depth
Target,-0.3075,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleLong,-0.1775,0.79,0.055,0.15,0.12,0.05000001
FailOnTouchObstacleMed,-0.1375,0.79,0.155,0.1,0.12,0.04999995
FailOnTouchObstacleShort,0.0425,0.79,0.125,0.04999995,0.12,0.04999995
FailOnTouchObstacleShort-1,0.1925,0.79,-0.025,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed-1,0.1825,0.79,-0.165,0.1,0.12,0.04999995
FailOnTouchObstacleLong-1,0.1125,0.79,0.065,0.15,0.12,0.05000001
