time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
287.5556,0.0325,0.79,0.055,0.0,0.0,0.0
287.5667,0.0325,0.79,0.055,0.0002,0.0002,0.0002
287.5778,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.5889,0.0325,0.79,0.055,0.0005,0.0005,0.0005
287.6,0.0325,0.79,0.055,0.0005,0.0005,0.0005
287.6111,0.0325,0.79,0.055,0.0005,0.0005,0.0005
287.6222,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.6333,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.6444,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.6555,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.6667,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.6778,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.6889,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7111,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7222,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7333,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7444,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7556,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7667,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7778,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.7889,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8111,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8222,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8333,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8445,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8556,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8667,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8778,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.8889,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9111,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9222,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9333,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9445,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9556,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9667,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9778,0.0325,0.79,0.055,0.0004,0.0004,0.0004
287.9889,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0111,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0222,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0333,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0445,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0556,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0667,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0778,0.0325,0.79,0.055,0.0004,0.0004,0.0004
288.0889,0.0325,0.79,0.055,0.0004,0.0004,0.0004
