start_time,end_time,dominant_object,non_dominant_object,interaction_type
367.8316,368.8482,Hand,FailOnTouchObstacleLong,PickedUp
367.9,367.9111,Hand,FailOnTouchObstacleLong,RightGate
368.5889,368.6111,Hand,FailOnTouchObstacleLong,RightGate
368.6333,368.6444,Hand,FailOnTouchObstacleLong,RightGate
368.6667,368.7,Hand,FailOnTouchObstacleLong,RightGate
369.2333,369.6444,Hand,FailOnTouchObstacleLong,RightGate
369.3222,369.6,Hand,FailOnTouchObstacleShort,RightGate
369.3222,369.6,Hand,FailOnTouchObstacleMed,LeftGate
369.3556,369.8333,HandToWrist,FailOnTouchObstacleLong,RightGate
369.3778,369.7667,HandToWrist,FailOnTouchObstacleShort,RightGate
369.3778,369.7667,HandToWrist,FailOnTouchObstacleMed,LeftGate
369.5778,370.3,WristToElbow,FailOnTouchObstacleShort,RightGate
369.5778,372.7333,WristToElbow,FailOnTouchObstacleMed,LeftGate
369.6,372.6889,WristToElbow,FailOnTouchObstacleLong,RightGate
369.9651,370.7805,Hand,FailOnTouchObstacleShort-1,PickedUp
370.9222,371.1,HandToWrist,FailOnTouchObstacleLong,RightGate
371.1778,372.2556,WristToElbow,FailOnTouchObstacleShort,RightGate
371.2778,371.5667,Hand,FailOnTouchObstacleMed-1,RightGate
371.2778,371.5667,Hand,FailOnTouchObstacleLong-1,RightGate
371.3445,371.8889,HandToWrist,FailOnTouchObstacleMed-1,RightGate
371.3445,371.8889,HandToWrist,FailOnTouchObstacleLong-1,RightGate
371.4778,372.4333,Hand,FailOnTouchObstacleShort-1,LeftGate
371.5445,372.4,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
371.5445,372.3889,WristToElbow,FailOnTouchObstacleMed-1,RightGate
371.5445,372.3889,WristToElbow,FailOnTouchObstacleLong-1,RightGate
372.0206,,Hand,Target,PickedUp
372.1556,372.5222,HandToWrist,FailOnTouchObstacleLong-1,RightGate
372.1556,372.5222,HandToWrist,FailOnTouchObstacleMed-1,RightGate
372.3445,372.5334,Hand,FailOnTouchObstacleLong-1,RightGate
372.3445,372.5334,Hand,FailOnTouchObstacleMed-1,RightGate
372.5222,372.7222,WristToElbow,FailOnTouchObstacleShort,RightGate
372.5889,372.8,HandToWrist,FailOnTouchObstacleLong,RightGate
372.6333,372.8333,HandToWrist,FailOnTouchObstacleMed,LeftGate
372.6333,372.8333,HandToWrist,FailOnTouchObstacleShort,RightGate
372.6556,372.8111,Hand,FailOnTouchObstacleLong,RightGate
372.7,372.8445,Hand,FailOnTouchObstacleMed,LeftGate
372.7,372.8445,Hand,FailOnTouchObstacleShort,RightGate
