object,x,y,z,width,height,depth
TableTop,0,0.73,-0.05,0.74,8.702278E-08,0.6000001
StartPoint,-0.03896737,0.78,-0.25,0.05,0.04999995,0.05000001
EndPoint,0,0.78,-0.315,0.075,0.07500005,0.07499999
ShelfBoundary,0,0.87,-0.05,0.74,0.01999998,0.6
LeftBoundary,-0.36,0.795,-0.05,0.01999998,0.13,0.6
RightBoundary,0.36,0.795,-0.05,0.01999998,0.13,0.6
BackBoundary,0,0.795,0.24,0.74,0.13,0.02000001
