object,x,y,z,width,height,depth
Target,0.1325,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleShort,0.0525,0.79,-0.085,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed,-0.0975,0.79,-0.135,0.1,0.12,0.04999995
FailOnTouchObstacleLong,0.2225,0.79,0.095,0.15,0.12,0.05000001
FailOnTouchObstacleShort-1,0.1925,0.79,-0.175,0.04999995,0.12,0.04999995
FailOnTouchObstacleLong-1,0.1525,0.79,0.005000001,0.15,0.12,0.05000001
FailOnTouchObstacleMed-1,-0.1575,0.79,-0.035,0.1,0.12,0.04999995
