start_time,end_time,dominant_object,non_dominant_object,interaction_type
978.5778,978.6889,Hand,FailOnTouchObstacleMed-1,RightGate
978.5889,978.7222,Hand,FailOnTouchObstacleShort-1,RightGate
978.6111,978.7778,HandToWrist,FailOnTouchObstacleMed-1,RightGate
978.6223,978.7889,HandToWrist,FailOnTouchObstacleShort-1,RightGate
978.6778,979.9556,WristToElbow,FailOnTouchObstacleMed-1,RightGate
978.6889,979.9445,WristToElbow,FailOnTouchObstacleShort-1,RightGate
978.6889,978.8112,Hand,FailOnTouchObstacleLong-1,RightGate
978.7111,978.9,HandToWrist,FailOnTouchObstacleLong-1,RightGate
978.8112,979.8556,WristToElbow,FailOnTouchObstacleLong-1,RightGate
978.8223,978.9667,Hand,FailOnTouchObstacleMed,LeftGate
978.8556,979.0778,HandToWrist,FailOnTouchObstacleMed,LeftGate
978.9,979.0667,Hand,FailOnTouchObstacleLong,RightGate
978.9333,979.2667,HandToWrist,FailOnTouchObstacleLong,RightGate
978.9556,979.7333,WristToElbow,FailOnTouchObstacleMed,LeftGate
979.0445,979.6556,WristToElbow,FailOnTouchObstacleLong,RightGate
979.0778,979.6111,Hand,FailOnTouchObstacleShort,RightGate
979.1334,979.5889,HandToWrist,FailOnTouchObstacleShort,RightGate
979.2222,979.4889,Hand,Target,Pushed
979.3597,,Hand,Target,PickedUp
979.5,979.7556,HandToWrist,FailOnTouchObstacleLong,RightGate
979.6223,979.7556,Hand,FailOnTouchObstacleLong,RightGate
979.6334,979.8112,HandToWrist,FailOnTouchObstacleMed,LeftGate
979.7,979.8223,Hand,FailOnTouchObstacleMed,LeftGate
979.7778,979.9222,HandToWrist,FailOnTouchObstacleLong-1,RightGate
979.8223,979.9333,Hand,FailOnTouchObstacleLong-1,RightGate
979.8667,980.0,HandToWrist,FailOnTouchObstacleShort-1,RightGate
979.8889,980.0222,HandToWrist,FailOnTouchObstacleMed-1,RightGate
979.9111,980.0111,Hand,FailOnTouchObstacleShort-1,RightGate
979.9222,980.0222,Hand,FailOnTouchObstacleMed-1,RightGate
