start_time,end_time,dominant_object,non_dominant_object,interaction_type
40.11115,40.759,Hand,FailOnTouchObstacleLong,PickedUp
41.05556,41.27778,Hand,FailOnTouchObstacleLong,RightGate
41.07778,41.255559999999996,Hand,FailOnTouchObstacleShort,LeftGate
41.12222,41.33334,HandToWrist,FailOnTouchObstacleShort,LeftGate
41.12222,41.36667,HandToWrist,FailOnTouchObstacleLong,RightGate
41.23333,42.7,WristToElbow,FailOnTouchObstacleShort,LeftGate
41.26667,42.66667,WristToElbow,FailOnTouchObstacleLong,RightGate
41.4,41.57778,Hand,FailOnTouchObstacleShort-1,LeftGate
41.4,41.57778,Hand,FailOnTouchObstacleLong-1,RightGate
41.43333,41.87778,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
41.43333,41.87778,HandToWrist,FailOnTouchObstacleLong-1,RightGate
41.56667,42.488890000000005,WristToElbow,FailOnTouchObstacleLong-1,RightGate
41.56667,42.488890000000005,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
42.0,42.32222,Hand,Target,Pushed
42.04379,,Hand,Target,PickedUp
42.35556,42.56667,HandToWrist,FailOnTouchObstacleLong-1,RightGate
42.35556,42.56667,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
42.45555,42.57778,Hand,FailOnTouchObstacleLong-1,RightGate
42.45555,42.57778,Hand,FailOnTouchObstacleShort-1,LeftGate
42.61111,42.73333,HandToWrist,FailOnTouchObstacleLong,RightGate
42.64445,42.755559999999996,HandToWrist,FailOnTouchObstacleShort,LeftGate
42.655559999999994,42.73333,Hand,FailOnTouchObstacleLong,RightGate
42.67778,42.755559999999996,Hand,FailOnTouchObstacleShort,LeftGate
