start_time,end_time,dominant_object,non_dominant_object,interaction_type
761.4333,761.4667,Hand,FailOnTouchObstacleLong,Pushed
761.4445,762.5,Hand,FailOnTouchObstacleShort,RightGate
761.4445,761.4667,Hand,FailOnTouchObstacleLong,LeftGate
761.4445,761.9667,Hand,FailOnTouchObstacleMed,RightGate
761.4573,762.0718,Hand,FailOnTouchObstacleLong,PickedUp
761.4778,762.0778,Hand,FailOnTouchObstacleLong,LeftGate
761.4778,762.0778,Hand,FailOnTouchObstacleLong,RightGate
761.5333,762.5667,HandToWrist,FailOnTouchObstacleShort,RightGate
761.5333,761.8889,HandToWrist,FailOnTouchObstacleMed,RightGate
761.9222,762.0889,WristToElbow,FailOnTouchObstacleShort,RightGate
762.1667,762.5,Hand,FailOnTouchObstacleMed,RightGate
762.2333,762.5667,HandToWrist,FailOnTouchObstacleMed,RightGate
762.4667,764.4333,WristToElbow,FailOnTouchObstacleShort,RightGate
762.4667,764.4333,WristToElbow,FailOnTouchObstacleMed,RightGate
762.7111,763.2111,Hand,FailOnTouchObstacleLong-1,Pushed
762.7222,763.0444,Hand,FailOnTouchObstacleShort-1,RightGate
762.7222,762.7333,Hand,FailOnTouchObstacleLong-1,LeftGate
762.7222,763.1,Hand,FailOnTouchObstacleMed-1,RightGate
762.7309,763.1887,Hand,FailOnTouchObstacleLong-1,PickedUp
762.7444,763.2,Hand,FailOnTouchObstacleLong-1,LeftGate
762.7889,762.9556,HandToWrist,FailOnTouchObstacleShort-1,RightGate
762.7889,763.6,HandToWrist,FailOnTouchObstacleMed-1,RightGate
762.8334,764.1,Hand,FailOnTouchObstacleLong,LeftGate
762.9,764.0444,HandToWrist,FailOnTouchObstacleLong,LeftGate
762.9889,764.0444,WristToElbow,FailOnTouchObstacleMed-1,RightGate
763.0222,763.3667,WristToElbow,FailOnTouchObstacleLong,LeftGate
763.2778,763.4445,Hand,FailOnTouchObstacleMed-1,RightGate
763.3,763.4445,Hand,FailOnTouchObstacleShort-1,RightGate
763.3334,763.6,HandToWrist,FailOnTouchObstacleShort-1,RightGate
763.3556,764.0444,WristToElbow,FailOnTouchObstacleShort-1,RightGate
763.6,763.9333,Hand,FailOnTouchObstacleLong-1,LeftGate
763.6223,763.9445,WristToElbow,FailOnTouchObstacleLong,LeftGate
763.6667,763.9,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
763.6889,763.8556,Hand,Target,Pushed
763.7364,,Hand,Target,PickedUp
763.9222,764.1556,HandToWrist,FailOnTouchObstacleMed-1,RightGate
763.9222,764.1556,HandToWrist,FailOnTouchObstacleShort-1,RightGate
763.9889,764.1667,Hand,FailOnTouchObstacleMed-1,RightGate
763.9889,764.1667,Hand,FailOnTouchObstacleShort-1,RightGate
764.3223,764.4778,HandToWrist,FailOnTouchObstacleShort,RightGate
764.3223,764.4778,HandToWrist,FailOnTouchObstacleMed,RightGate
764.3445,764.4889,Hand,FailOnTouchObstacleMed,RightGate
764.3445,764.4889,Hand,FailOnTouchObstacleShort,RightGate
