object,x,y,z,width,height,depth
Target,-0.0575,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleLong,0.0025,0.79,0.115,0.15,0.12,0.05000001
FailOnTouchObstacleMed,-0.1375,0.79,-0.015,0.1,0.12,0.04999995
FailOnTouchObstacleShort,0.0125,0.79,0.015,0.04999995,0.12,0.04999995
FailOnTouchObstacleShort-1,-0.1475,0.79,0.075,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed-1,0.1625,0.79,-0.145,0.1,0.12,0.04999995
FailOnTouchObstacleLong-1,0.0325,0.79,-0.135,0.15,0.12,0.05000001
