time,FailOnTouchObstacleMed_pos_x,FailOnTouchObstacleMed_pos_y,FailOnTouchObstacleMed_pos_z,FailOnTouchObstacleMed_rot_x,FailOnTouchObstacleMed_rot_y,FailOnTouchObstacleMed_rot_z
230.3667,0.0025,0.79,-0.105,0.0,0.0,0.0
230.3778,0.0025,0.79,-0.105,0.0,0.0,0.0
230.3889,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4111,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4222,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4333,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4444,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4556,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4667,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4778,0.0025,0.79,-0.105,0.0,0.0,0.0
230.4889,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5111,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5222,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5333,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5444,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5556,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5667,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5778,0.0025,0.79,-0.105,0.0,0.0,0.0
230.5889,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6111,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6222,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6333,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6445,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6556,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6667,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6778,0.0025,0.79,-0.105,0.0,0.0,0.0
230.6889,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7111,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7222,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7333,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7444,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7556,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7667,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7778,0.0025,0.79,-0.105,0.0,0.0,0.0
230.7889,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8111,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8222,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8333,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8445,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8556,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8667,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8778,0.0025,0.79,-0.105,0.0,0.0,0.0
230.8889,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9111,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9222,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9333,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9444,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9556,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9667,0.0025,0.79,-0.105,0.0,0.0,0.0
230.9778,0.0025,0.79,-0.105,0.0,0.0,0.0
