object,x,y,z,width,height,depth
Target,0.1225,0.7727079,0.175,0.04999959,0.08541586,0.04999948
FailOnTouchObstacleLong,0.0025,0.79,0.145,0.15,0.12,0.05000001
FailOnTouchObstacleShort,-0.0675,0.79,-0.035,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed,0.2625,0.79,-0.025,0.1,0.12,0.04999995
FailOnTouchObstacleShort-1,0.2625,0.79,-0.165,0.04999995,0.12,0.04999995
FailOnTouchObstacleMed-1,0.1625,0.79,0.035,0.1,0.12,0.04999995
FailOnTouchObstacleLong-1,-0.0675,0.79,0.075,0.15,0.12,0.05000001
