time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
816.9111,0.0,0.7727,0.175,0.0,0.0,0.0
816.9222,0.0,0.7727,0.175,0.0,0.0,0.0
816.9333,0.0,0.7727,0.175,0.0,0.0,0.0
816.9445,0.0,0.7727,0.175,0.0,0.0,0.0
816.9556,0.0,0.7727,0.175,0.0,0.0,0.0
816.9667,0.0,0.7727,0.175,0.0,0.0,0.0
816.9778,0.0,0.7727,0.175,0.0,0.0,0.0
816.9889,0.0,0.7727,0.175,0.0,0.0,0.0
817.0,0.0,0.7727,0.175,0.0,0.0,0.0
817.0111,0.0,0.7727,0.175,0.0,0.0,0.0
817.0222,0.0,0.7727,0.175,0.0,0.0,0.0
817.0333,0.0,0.7727,0.175,0.0,0.0,0.0
817.0445,0.0,0.7727,0.175,0.0,0.0,0.0
817.0556,0.0,0.7727,0.175,0.0,0.0,0.0
817.0667,0.0,0.7727,0.175,0.0,0.0,0.0
817.0778,0.0,0.7727,0.175,0.0,0.0,0.0
817.0889,0.0,0.7727,0.175,0.0,0.0,0.0
817.1,0.0,0.7727,0.175,0.0,0.0,0.0
817.1111,0.0,0.7727,0.175,0.0,0.0,0.0
817.1223,0.0,0.7727,0.175,0.0,0.0,0.0
817.1334,0.0,0.7727,0.175,0.0,0.0,0.0
817.1445,0.0,0.7727,0.175,0.0,0.0,0.0
817.1556,0.0,0.7727,0.175,0.0,0.0,0.0
817.1667,0.0,0.7727,0.175,0.0,0.0,0.0
817.1778,0.0,0.7727,0.175,0.0,0.0,0.0
817.1889,0.0,0.7727,0.175,0.0,0.0,0.0
817.2,0.0,0.7727,0.175,0.0,0.0,0.0
817.2111,0.0,0.7727,0.175,0.0,0.0,0.0
817.2222,0.0,0.7727,0.175,0.0,0.0,0.0
817.2333,0.0,0.7727,0.175,0.0,0.0,0.0
817.2444,0.0,0.7727,0.175,0.0,0.0,0.0
817.2556,0.0,0.7727,0.175,0.0,0.0,0.0
817.2667,0.0,0.7727,0.175,0.0,0.0,0.0
817.2778,0.0,0.7727,0.175,0.0,0.0,0.0
817.2889,0.0,0.7727,0.175,0.0,0.0,0.0
817.3,0.0,0.7727,0.175,0.0,0.0,0.0
817.3112,0.0,0.7727,0.175,0.0,0.0,0.0
817.3223,0.0,0.7727,0.175,0.0,0.0,0.0
817.3334,0.0,0.7727,0.175,0.0,0.0,0.0
817.3445,0.0,0.7727,0.175,0.0,0.0,0.0
817.3556,0.0,0.7727,0.175,0.0,0.0,0.0
817.3667,0.0,0.7727,0.175,0.0,0.0,0.0
817.3778,0.0,0.7727,0.175,0.0,0.0,0.0
817.3889,0.0,0.7727,0.175,0.0,0.0,0.0
817.4,0.0,0.7727,0.175,0.0,0.0,0.0
817.4111,0.0,0.7727,0.175,0.0,0.0,0.0
817.4222,0.0,0.7727,0.175,0.0,0.0,0.0
817.4333,0.0,0.7727,0.175,0.0,0.0,0.0
817.4445,0.0,0.7727,0.175,0.0,0.0,0.0
817.4556,0.0,0.7727,0.175,0.0,0.0,0.0
817.4667,0.0,0.7727,0.175,0.0,0.0,0.0
817.4778,0.0,0.7727,0.175,0.0,0.0,0.0
817.4889,0.0,0.7727,0.175,0.0,0.0,0.0
817.5,0.0,0.7727,0.175,0.0,0.0,0.0
817.5111,0.0,0.7727,0.175,0.0,0.0,0.0
817.5222,0.0,0.7727,0.175,0.0,0.0,0.0
817.5333,0.0,0.7727,0.175,0.0,0.0,0.0
817.5445,0.0,0.7727,0.175,0.0,0.0,0.0
817.5556,0.0,0.7727,0.175,0.0,0.0,0.0
817.5667,0.0,0.7727,0.175,0.0,0.0,0.0
817.5778,0.0,0.7727,0.175,0.0,0.0,0.0
817.5889,0.0,0.7727,0.175,0.0,0.0,0.0
817.6,0.0,0.7727,0.175,0.0,0.0,0.0
817.6111,0.0,0.7727,0.175,0.0,0.0,0.0
817.6223,0.0,0.7727,0.175,0.0,0.0,0.0
817.6334,0.0,0.7727,0.175,0.0,0.0,0.0
817.6445,0.0,0.7727,0.175,0.0,0.0,0.0
817.6556,0.0,0.7727,0.175,0.0,0.0,0.0
817.6667,0.0,0.7727,0.175,0.0,0.0,0.0
817.6778,0.0,0.7727,0.175,0.0,0.0,0.0
817.6889,0.0,0.7727,0.175,0.0,0.0,0.0
817.7,0.0,0.7727,0.175,0.0,0.0,0.0
817.7111,0.0,0.7727,0.175,0.0,0.0,0.0
817.7222,0.0,0.7727,0.175,0.0,0.0,0.0
817.7333,0.0,0.7727,0.175,0.0,0.0,0.0
817.7444,0.0,0.7727,0.175,0.0,0.0,0.0
817.7556,0.0,0.7727,0.175,0.0,0.0,0.0
817.7667,0.0,0.7727,0.175,0.0,0.0,0.0
817.7778,0.0,0.7727,0.175,0.0,0.0,0.0
817.7889,0.0,0.7727,0.175,0.0,0.0,0.0
817.8,0.0,0.7727,0.175,0.0,0.0,0.0
817.8112,0.0,0.7727,0.175,0.0,0.0,0.0
817.8223,0.0,0.7727,0.175,0.0,0.0,0.0
817.8334,0.0,0.7727,0.175,0.0,0.0,0.0
817.8445,0.0,0.7727,0.175,0.0,0.0,0.0
817.8556,0.0,0.7727,0.175,0.0,0.0,0.0
817.8667,0.0,0.7727,0.175,0.0,0.0,0.0
817.8778,0.0,0.7727,0.175,0.0,0.0,0.0
817.8889,0.0,0.7727,0.175,0.0,0.0,0.0
817.9,0.0,0.7727,0.175,0.0,0.0,0.0
817.9111,0.0,0.7727,0.175,0.0,0.0,0.0
817.9222,0.0,0.7727,0.175,0.0,0.0,0.0
817.9333,0.0,0.7727,0.175,0.0,0.0,0.0
817.9445,0.0,0.7727,0.175,0.0,0.0,0.0
817.9556,0.0,0.7727,0.175,0.0,0.0,0.0
817.9667,0.0,0.7727,0.175,0.0,0.0,0.0
817.9778,0.0,0.7727,0.175,0.0,0.0,0.0
817.9889,0.0,0.7727,0.175,0.0,0.0,0.0
818.0,0.0,0.7727,0.175,0.0,0.0,0.0
818.0111,0.0,0.7727,0.175,0.0,0.0,0.0
818.0222,0.0,0.7727,0.175,0.0,0.0,0.0
818.0333,0.0,0.7727,0.175,0.0,0.0,0.0
818.0445,0.0,0.7727,0.175,0.0,0.0,0.0
818.0556,0.0,0.7727,0.175,0.0,0.0,0.0
818.0667,0.0,0.7727,0.175,0.0,0.0,0.0
818.0778,0.0,0.7727,0.175,0.0,0.0,0.0
818.0889,0.0,0.7727,0.175,0.0,0.0,0.0
818.1,0.0,0.7727,0.175,0.0,0.0,0.0
818.1111,0.0,0.7727,0.175,0.0,0.0,0.0
818.1223,0.0,0.7727,0.175,0.0,0.0,0.0
818.1334,0.0,0.7727,0.175,0.0,0.0,0.0
818.1445,0.0,0.7727,0.175,0.0,0.0,0.0
818.1556,0.0,0.7727,0.175,0.0,0.0,0.0
818.1667,0.0,0.7727,0.175,0.0,0.0,0.0
818.1778,0.0,0.7727,0.175,0.0,0.0,0.0
818.1889,0.0,0.7727,0.175,0.0,0.0,0.0
818.2,0.0,0.7727,0.175,0.0,0.0,0.0
818.2111,0.0,0.7727,0.1751,0.1259,0.1259,0.1259
818.2222,-0.0001,0.7728,0.1761,0.1948,0.1948,0.1948
818.2333,-0.0001,0.7727,0.1777,0.1031,0.1031,0.1031
818.2444,0.0,0.7728,0.1793,0.12,0.12,0.12
818.2556,0.0001,0.7728,0.1806,0.2522,0.2522,0.2522
818.2667,0.0002,0.7728,0.1815,0.0778,0.0778,0.0778
818.2778,0.0001,0.7728,0.182,0.3716,0.3716,0.3716
818.2889,0.0001,0.7727,0.1822,0.1467,0.1467,0.1467
818.3,0.0001,0.7727,0.1822,0.1467,0.1467,0.1467
818.3112,0.0001,0.7727,0.1822,0.0746,0.0746,0.0746
818.3223,0.0001,0.7727,0.1821,0.0101,0.0101,0.0101
818.3334,0.0001,0.7727,0.1821,359.9813,359.9813,359.9813
818.3445,0.0001,0.7727,0.1821,359.9794,359.9794,359.9794
818.3556,0.0001,0.7727,0.1821,359.98800000000006,359.98800000000006,359.98800000000006
818.3667,0.0001,0.7727,0.1821,-0.0042,-0.0042,-0.0042
818.3778,0.0,0.7741,0.182,357.7609,357.7609,357.7609
818.3889,-0.0002,0.7744,0.1799,357.3165,357.3165,357.3165
818.4,-0.0004,0.7744,0.1782,357.0995,357.0995,357.0995
818.4111,-0.001,0.7742,0.175,357.7199,357.7199,357.7199
818.4222,-0.0017,0.7738,0.1728,357.9999,357.9999,357.9999
818.4333,-0.0024,0.7733,0.1679,358.7367,358.7367,358.7367
818.4445,-0.0023,0.7732,0.1646,358.4044,358.4044,358.4044
818.4556,-0.0031,0.7726,0.1602,358.9962,358.9962,358.9962
818.4667,-0.0035,0.7729,0.1559,359.0059,359.0059,359.0059
818.4778,-0.0032,0.7728,0.151,358.7034,358.7034,358.7034
818.4889,-0.0037,0.7728,0.1458,358.3615,358.3615,358.3615
818.5,-0.0043,0.7729,0.1402,357.6376,357.6376,357.6376
818.5111,-0.0047,0.7731,0.1345,356.7766,356.7766,356.7766
818.5222,-0.0052,0.774,0.1288,356.8943,356.8943,356.8943
818.5333,-0.0059,0.7731,0.1228,358.3781,358.3781,358.3781
818.5445,-0.0062,0.7733,0.1163,358.1071,358.1071,358.1071
818.5556,-0.0062,0.7732,0.1097,358.5452,358.5452,358.5452
818.5667,-0.0059,0.773,0.1031,358.9134,358.9134,358.9134
818.5778,-0.0057,0.7727,0.096,358.5128,358.5128,358.5128
818.5889,-0.0055,0.7729,0.0894,357.7084,357.7084,357.7084
818.6,-0.0054,0.7732,0.0825,356.7277,356.7277,356.7277
818.6111,-0.0054,0.7735,0.0752,355.7235,355.7235,355.7235
818.6223,-0.0052,0.7734,0.0675,357.9765,357.9765,357.9765
818.6334,-0.0051,0.7727,0.0598,359.9805,359.9805,359.9805
818.6445,-0.0049,0.7724,0.052000000000000005,358.7559,358.7559,358.7559
818.6556,-0.0046,0.7725,0.0442,357.8666,357.8666,357.8666
818.6667,-0.0045,0.7725,0.0362,0.2667,0.2667,0.2667
818.6778,-0.004,0.7725,0.0284,0.9898,0.9898,0.9898
818.6889,-0.0035,0.7726,0.0205,0.9835,0.9835,0.9835
818.7,-0.0022,0.7732,0.0128,358.0003,358.0003,358.0003
818.7111,-0.0024,0.7731,0.0054,359.24,359.24,359.24
818.7222,-0.002,0.773,-0.0021,359.0845,359.0845,359.0845
818.7333,-0.0015,0.7728,-0.0098,359.2899,359.2899,359.2899
818.7444,-0.0012,0.773,-0.0178,359.1099,359.1099,359.1099
818.7556,-0.0005,0.7729,-0.0254,358.8266,358.8266,358.8266
818.7667,0.0001,0.7728,-0.0331,358.6864,358.6864,358.6864
818.7778,0.0011,0.7736,-0.0409,355.8422,355.8422,355.8422
818.7889,0.0024,0.7724,-0.0491,359.8082,359.8082,359.8082
818.8,0.0033,0.7722,-0.0568,357.2574,357.2574,357.2574
818.8112,0.0039,0.775,-0.0646,354.8903,354.8903,354.8903
818.8223,0.0054,0.7723,-0.0758,355.994,355.994,355.994
818.8334,0.0057,0.7721,-0.0805,359.72,359.72,359.72
818.8445,0.0067,0.7733,-0.0865,358.4872,358.4872,358.4872
818.8556,0.0061,0.7723,-0.0931,0.5492,0.5492,0.5492
818.8667,0.0073,0.7736,-0.0999,357.3232,357.3232,357.3232
818.8778,0.0088,0.7735,-0.1068,357.1054,357.1054,357.1054
818.8889,0.0075,0.7722,-0.1144,1.2386,1.2386,1.2386
818.9,0.0071,0.7753,-0.1225,356.1059,356.1059,356.1059
818.9111,0.0126,0.7736,-0.1322,349.7982,349.7982,349.7982
818.9222,0.0098,0.7723,-0.1366,2.1594,2.1594,2.1594
818.9333,0.0088,0.7749,-0.1438,357.7572,357.7572,357.7572
818.9445,0.0098,0.7721,-0.1536,350.8797,350.8797,350.8797
818.9556,0.009000000000000001,0.7743,-0.1588,359.7057,359.7057,359.7057
818.9667,0.009000000000000001,0.7734,-0.1634,0.4799,0.4799,0.4799
818.9778,0.0088,0.7724,-0.1699,359.4854,359.4854,359.4854
818.9889,0.0086,0.775,-0.1773,358.3899,358.3899,358.3899
819.0,0.0105,0.7723,-0.1864,351.5884,351.5884,351.5884
819.0111,0.0094,0.7746,-0.1919,1.5801,1.5801,1.5801
819.0222,0.0117,0.773,-0.1976,359.0974,359.0974,359.0974
