start_time,end_time,dominant_object,non_dominant_object,interaction_type
860.3881,861.2092,Hand,FailOnTouchObstacleLong,PickedUp
860.5667,861.8334,Hand,FailOnTouchObstacleMed,RightGate
860.6889,861.9222,HandToWrist,FailOnTouchObstacleMed,RightGate
861.8,863.3223,WristToElbow,FailOnTouchObstacleMed,RightGate
861.9,862.1223,Hand,FailOnTouchObstacleLong,LeftGate
861.9445,862.2222,HandToWrist,FailOnTouchObstacleLong,LeftGate
862.0333,862.2667,Hand,FailOnTouchObstacleShort-1,RightGate
862.0333,862.2667,Hand,FailOnTouchObstacleMed-1,LeftGate
862.0333,862.2667,Hand,FailOnTouchObstacleLong-1,RightGate
862.0445,863.0445,WristToElbow,FailOnTouchObstacleLong,LeftGate
862.0778,862.4778,HandToWrist,FailOnTouchObstacleShort-1,RightGate
862.0778,862.4778,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
862.0778,862.4778,HandToWrist,FailOnTouchObstacleLong-1,RightGate
862.2,862.8778,WristToElbow,FailOnTouchObstacleShort-1,RightGate
862.2,862.8778,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
862.2,862.8778,WristToElbow,FailOnTouchObstacleLong-1,RightGate
862.5272,,Hand,Target,PickedUp
862.6334,863.0,HandToWrist,FailOnTouchObstacleLong-1,RightGate
862.6334,863.0,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
862.6334,863.0,HandToWrist,FailOnTouchObstacleShort-1,RightGate
862.8,863.0222,Hand,FailOnTouchObstacleLong-1,RightGate
862.8,863.0222,Hand,FailOnTouchObstacleMed-1,LeftGate
862.8,863.0222,Hand,FailOnTouchObstacleShort-1,RightGate
862.8778,863.1556,HandToWrist,FailOnTouchObstacleLong,LeftGate
862.9445,863.1889,Hand,FailOnTouchObstacleLong,LeftGate
863.1889,863.4222,HandToWrist,FailOnTouchObstacleMed,RightGate
863.2556,863.4445,Hand,FailOnTouchObstacleMed,RightGate
