start_time,end_time,dominant_object,non_dominant_object,interaction_type
117.8222,119.3889,Hand,FailOnTouchObstacleShort,Pushed
117.8667,117.9889,Hand,FailOnTouchObstacleShort,LeftGate
117.8667,118.2444,Hand,FailOnTouchObstacleLong,LeftGate
117.9809,119.1538,Hand,FailOnTouchObstacleShort,PickedUp
118.0222,118.4667,Hand,FailOnTouchObstacleShort,LeftGate
118.8889,119.0,Hand,FailOnTouchObstacleShort,LeftGate
119.0333,119.3222,Hand,FailOnTouchObstacleShort,LeftGate
119.3333,119.3889,Hand,FailOnTouchObstacleShort,LeftGate
119.5889,119.7333,Hand,FailOnTouchObstacleLong,LeftGate
119.6222,119.8556,HandToWrist,FailOnTouchObstacleLong,LeftGate
119.7111,124.4889,WristToElbow,FailOnTouchObstacleLong,LeftGate
119.7333,121.2667,Hand,FailOnTouchObstacleShort,RightGate
119.8222,121.4778,HandToWrist,FailOnTouchObstacleShort,RightGate
120.4778,122.0111,Hand,FailOnTouchObstacleMed,Pushed
120.5333,121.0667,Hand,FailOnTouchObstacleLong-1,LeftGate
120.5444,120.9778,Hand,FailOnTouchObstacleMed,LeftGate
120.7957,121.8904,Hand,FailOnTouchObstacleMed,PickedUp
121.0222,121.0333,Hand,FailOnTouchObstacleMed,LeftGate
121.0444,121.0889,Hand,FailOnTouchObstacleMed,LeftGate
121.1111,121.8889,Hand,FailOnTouchObstacleMed,LeftGate
121.1778,124.3444,WristToElbow,FailOnTouchObstacleShort,RightGate
122.3556,122.6,HandToWrist,FailOnTouchObstacleShort,RightGate
122.5,122.7667,Hand,FailOnTouchObstacleLong-1,LeftGate
122.5444,123.0444,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
122.7222,124.2222,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
123.2333,124.0556,Hand,Target,Pushed
123.6777,,Hand,Target,PickedUp
124.0444,124.3222,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
124.1778,124.3333,Hand,FailOnTouchObstacleLong-1,LeftGate
124.2111,124.4333,HandToWrist,FailOnTouchObstacleShort,RightGate
124.2778,124.4445,Hand,FailOnTouchObstacleShort,RightGate
124.4222,124.5667,HandToWrist,FailOnTouchObstacleLong,LeftGate
124.4667,124.5667,Hand,FailOnTouchObstacleLong,LeftGate
