time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
819.0778,0.0825,0.79,0.055,0.0,0.0,0.0
819.0889,0.0825,0.79,0.055,0.0002,0.0002,0.0002
819.1,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.1111,0.0825,0.79,0.055,0.0005,0.0005,0.0005
819.1223,0.0825,0.79,0.055,0.0005,0.0005,0.0005
819.1334,0.0825,0.79,0.055,0.0005,0.0005,0.0005
819.1445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.1556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.1667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.1778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.1889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2444,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.2889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3112,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3223,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3334,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.3889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.4889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.5889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6223,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6334,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.6889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7444,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.7889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8112,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8223,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8334,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.8889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
819.9889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.0889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1223,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1334,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.1889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2444,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.2889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3112,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3223,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3334,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.3889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.4889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5222,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5333,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.5889,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6111,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6223,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6334,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6445,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6556,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6667,0.0825,0.79,0.055,0.0004,0.0004,0.0004
820.6778,0.0825,0.79,0.055,0.0004,0.0004,0.0004
